prediction,asphalt,cobblestone,compacted,concrete,concrete_plates,grass,gravel,ground,paving_stones,sett,filename
gravel,0.01279105432331562,0.03127468749880791,0.040272053331136703,0.03318804129958153,0.0003775515651796013,0.00029128746245987713,0.825236976146698,0.04390056058764458,0.012245919555425644,0.0004218671820126474,06e8aab1575b98a69d28e3cac431895e.png
gravel,0.013248111121356487,0.006473840679973364,0.007678738795220852,0.020815923810005188,0.0003478498838376254,6.262835813686252e-05,0.9464766383171082,0.0006529003148898482,0.0024682357907295227,0.0017751031555235386,07cfbed212060d73a5b695d714d4374a.png
gravel,0.03895949572324753,0.01089006569236517,0.019229086115956306,0.01711014285683632,8.89224829734303e-05,5.38338535989169e-05,0.91094970703125,0.0007878888281993568,0.0012269224971532822,0.0007038652547635138,07eab6e10b6c90f8d825e29ce616dace.png
gravel,0.05101954936981201,0.05983813479542732,0.002663712715730071,0.08238524943590164,0.00019757056725211442,0.00031775914249010384,0.7962941527366638,0.00424806447699666,0.002780098933726549,0.0002556924009695649,085460ded5b824446ccd069386c200ac.png
ground,0.12730124592781067,0.10739434510469437,0.04656359553337097,0.02586730755865574,0.0001847153907874599,0.19751279056072235,0.1382494419813156,0.3516925275325775,0.0041386717930436134,0.0010953177697956562,08fe098a1365a5a7af62149fef2e5d65.png
gravel,0.008065558038651943,0.04615475609898567,0.1275961846113205,0.04550103098154068,0.0041136229410767555,0.0016498519107699394,0.7339895367622375,0.016792969778180122,0.014188419096171856,0.0019480434712022543,0a203c608cbdc5b8d07b03b40df17334.png
asphalt,0.7317692637443542,0.002233058214187622,0.029757047072052956,0.011929076164960861,0.00017761932394932956,2.0294082787586376e-05,0.22044737637043,0.0024468833580613136,0.0009140605689026415,0.0003053615801036358,0cf843a62d27730459d82f51b4a093e3.png
ground,0.04671722277998924,0.022235814481973648,0.17711400985717773,0.0064188758842647076,0.0002639173180796206,0.0007643797434866428,0.07941632717847824,0.6647050976753235,0.0017581178108230233,0.0006062863976694643,0dc0591fe56f88c6d0a70b621f367442.png
asphalt,0.6744739413261414,0.11243429780006409,0.03630644083023071,0.022162092849612236,0.00018028025806415826,0.03286535665392876,0.07437486946582794,0.04477205500006676,0.0012955710990354419,0.0011351645225659013,0dd8737595964290cbb3f1a4ba401aae.png
gravel,0.004744706209748983,0.003692764090374112,0.10492897778749466,0.03250151500105858,0.0008304401999339461,2.2613987312070094e-05,0.8504871129989624,0.0007267767796292901,0.0018386689480394125,0.00022636652283836156,0e8a64bea07c9bca009cec66cf849c6e.png
ground,0.02931351773440838,0.0034602785017341375,0.16076098382472992,0.01124107651412487,0.00042004810529761016,0.0005929638864472508,0.3216843903064728,0.4671240448951721,0.0008311148849315941,0.004571607802063227,0ef465cc8db7a2bfd408a0203e368294.png
gravel,0.010418247431516647,0.006533266045153141,0.011505695059895515,0.009294945746660233,0.00022629289014730603,2.728932668105699e-05,0.9595991969108582,0.0013299514539539814,0.000853321107570082,0.00021182865020819008,0f782358ecc8c1056796b108fd695436.png
gravel,0.11005214601755142,0.008841274306178093,0.04150048643350601,0.04310736060142517,0.000360559526598081,8.520085248164833e-05,0.7930891513824463,0.001537109725177288,0.000862856162711978,0.000563877634704113,1033c2accb2c329bd5ccc38f5e8858f1.png
gravel,0.02943992055952549,0.004783309996128082,0.02056296356022358,0.11692339926958084,0.0006047048373147845,9.625596430851147e-05,0.8237003684043884,0.0015442222356796265,0.0022649813909083605,7.988847210071981e-05,10d2cf2d4acbf686dce8f78c5dd8c85e.png
gravel,0.026858404278755188,0.018089234828948975,0.09199535101652145,0.005086605437099934,0.0002975725510623306,0.0001897348847705871,0.6355625987052917,0.21344484388828278,0.0016274877125397325,0.006848112214356661,10d354ae2a6a35d055734f947e013d08.png
