label,grass,paving_stones,asphalt,cobblestone,concrete,ground,compacted,gravel,sett,concrete_plates,filepath
asphalt,0.00559234619140625,0.00408935546875,0.75537109375,3.3974647521972656e-06,0.05303955078125,4.5418739318847656e-05,0.004634857177734375,0.00021004676818847656,0.0029926300048828125,0.1739501953125,../data/deep_pavements_dataset/dataset/asphalt/8a87b13001be0f478c6b49030a0edfde.png
asphalt,0.0007443428039550781,0.0018415451049804688,0.7666015625,2.4437904357910156e-06,0.1463623046875,7.140636444091797e-05,0.01448822021484375,8.612871170043945e-05,0.0006170272827148438,0.069091796875,../data/deep_pavements_dataset/dataset/asphalt/bff424c3dcfe67c24e4f29779cbb1e2c.png
asphalt,8.541345596313477e-05,0.00374603271484375,0.44677734375,6.794929504394531e-06,0.347900390625,0.00013649463653564453,0.132080078125,8.279085159301758e-05,0.0007147789001464844,0.0684814453125,../data/deep_pavements_dataset/dataset/asphalt/2a653f2deae428ae6025c4a27c547987.png
asphalt,0.00011408329010009766,0.00389862060546875,0.0270538330078125,1.430511474609375e-06,0.89599609375,9.357929229736328e-06,0.0262298583984375,0.0005445480346679688,4.07099723815918e-05,0.0460205078125,../data/deep_pavements_dataset/dataset/asphalt/11da0f2063ec200b5bcd43aacdb04c5d.png
asphalt,0.0002758502960205078,0.003688812255859375,0.84814453125,1.2516975402832031e-05,0.07183837890625,0.0003769397735595703,0.035003662109375,6.55055046081543e-05,0.0022373199462890625,0.0384521484375,../data/deep_pavements_dataset/dataset/asphalt/e34852cfdbae0c4b7407e879409dccc8.png
asphalt,4.011392593383789e-05,0.00036907196044921875,0.970703125,2.9802322387695312e-06,0.0086669921875,0.0004181861877441406,0.01261138916015625,2.086162567138672e-06,0.0010347366333007812,0.005954742431640625,../data/deep_pavements_dataset/dataset/asphalt/b520a9f1538f9496b5e86663dfaaa00e.png
asphalt,0.06719970703125,0.00244903564453125,0.8447265625,4.172325134277344e-07,0.021148681640625,2.8073787689208984e-05,0.00013816356658935547,0.00015652179718017578,0.0007467269897460938,0.06317138671875,../data/deep_pavements_dataset/dataset/asphalt/81177851846643250363c8643404c78d.png
asphalt,0.00018537044525146484,0.0015048980712890625,0.75537109375,4.947185516357422e-06,0.179443359375,0.00018537044525146484,0.03424072265625,6.61015510559082e-05,0.000431060791015625,0.0283966064453125,../data/deep_pavements_dataset/dataset/asphalt/f6e28e044405373735cc7551862926d7.png
asphalt,0.0005922317504882812,0.00249481201171875,0.916015625,6.198883056640625e-06,0.0268096923828125,0.00021791458129882812,0.010498046875,3.784894943237305e-05,0.0029163360595703125,0.040252685546875,../data/deep_pavements_dataset/dataset/asphalt/b67f4285d29251bc226245f02c2473e0.png
asphalt,0.0002199411392211914,0.00934600830078125,0.8681640625,0.0001252889633178711,0.06097412109375,0.007282257080078125,0.043243408203125,0.0001608133316040039,0.0030345916748046875,0.007282257080078125,../data/deep_pavements_dataset/dataset/asphalt/c23a2e16d1bb2e75c04f814be7da7d65.png
asphalt,0.0008130073547363281,0.0037593841552734375,0.919921875,1.6868114471435547e-05,0.0179443359375,0.0003840923309326172,0.01122283935546875,6.67572021484375e-05,0.00659942626953125,0.0391845703125,../data/deep_pavements_dataset/dataset/asphalt/4361f58d997c6cb73e048ed8ed35f6a1.png
asphalt,0.0004878044128417969,0.0161590576171875,0.07708740234375,8.940696716308594e-07,0.5693359375,8.64267349243164e-06,0.0311431884765625,0.0002779960632324219,0.00039196014404296875,0.304931640625,../data/deep_pavements_dataset/dataset/asphalt/dc761cf8498a23eff670d785aa732ba4.png
asphalt,8.207559585571289e-05,0.0156402587890625,0.55126953125,0.00020313262939453125,0.2861328125,0.0188751220703125,0.123046875,0.0003247261047363281,0.0007786750793457031,0.003490447998046875,../data/deep_pavements_dataset/dataset/asphalt/d1d7d6acfe6c8026e0e515f15c88eb3f.png
asphalt,0.0008707046508789062,0.00501251220703125,0.8427734375,6.258487701416016e-06,0.08612060546875,0.0002574920654296875,0.0140533447265625,9.769201278686523e-05,0.001678466796875,0.049072265625,../data/deep_pavements_dataset/dataset/asphalt/1556409689c0ce7450ebaaf980826bb0.png
asphalt,0.0017261505126953125,0.0031261444091796875,0.92236328125,7.987022399902344e-06,0.0144500732421875,0.00021946430206298828,0.004993438720703125,5.906820297241211e-05,0.00548553466796875,0.047393798828125,../data/deep_pavements_dataset/dataset/asphalt/0438ecfd7d8beab3045835f4f8656595.png
asphalt,0.00037384033203125,0.0027637481689453125,0.84130859375,3.7550926208496094e-06,0.0782470703125,0.0001659393310546875,0.021728515625,3.820657730102539e-05,0.0014333724975585938,0.053802490234375,../data/deep_pavements_dataset/dataset/asphalt/46e643ba13b6997866f9f1ed92de7602.png
asphalt,0.00069427490234375,0.004528045654296875,0.86279296875,6.020069122314453e-06,0.050201416015625,0.00019884109497070312,0.01629638671875,5.698204040527344e-05,0.00292205810546875,0.0625,../data/deep_pavements_dataset/dataset/asphalt/921eed1734503ebe476e96ef19baf164.png
asphalt,0.0,0.0004949569702148438,3.165006637573242e-05,0.92333984375,1.7285346984863281e-06,0.00798797607421875,0.0246124267578125,0.00014638900756835938,0.043182373046875,4.827976226806641e-06,../data/deep_pavements_dataset/dataset/asphalt/f0b2d3d770325252b638ade7c22aa0f2.png
asphalt,0.004062652587890625,0.0121307373046875,0.17822265625,3.5762786865234375e-06,0.08416748046875,9.179115295410156e-06,0.01070404052734375,0.0005497932434082031,0.005214691162109375,0.705078125,../data/deep_pavements_dataset/dataset/asphalt/72792921d6094af048d79b289349996d.png
asphalt,0.0001361370086669922,0.017822265625,0.12371826171875,0.0010061264038085938,0.459716796875,0.00103759765625,0.34716796875,0.00766754150390625,0.0028209686279296875,0.0389404296875,../data/deep_pavements_dataset/dataset/asphalt/3d43b58fa36d4b8fc94d72ed9eb96e5a.png
asphalt,0.000308990478515625,0.0230560302734375,0.477783203125,1.3589859008789062e-05,0.3720703125,0.0006747245788574219,0.07562255859375,0.0001995563507080078,0.0012226104736328125,0.048828125,../data/deep_pavements_dataset/dataset/asphalt/ecd1f7558bce6d30e92a0cc863ffcda2.png
asphalt,8.094310760498047e-05,0.0010833740234375,0.92529296875,6.258487701416016e-06,0.031646728515625,0.0004112720489501953,0.0262451171875,1.2040138244628906e-05,0.0012273788452148438,0.01404571533203125,../data/deep_pavements_dataset/dataset/asphalt/1778ae5f156b93e0c6d21f2931e7a45a.png
asphalt,0.00015294551849365234,0.0015935897827148438,0.87890625,3.159046173095703e-06,0.059814453125,0.00021564960479736328,0.027374267578125,1.5616416931152344e-05,0.0010614395141601562,0.0310211181640625,../data/deep_pavements_dataset/dataset/asphalt/3f670b5dba5d0d69297c0912c41ee53e.png
asphalt,0.0005097389221191406,0.00251007080078125,0.951171875,1.4901161193847656e-05,0.01490020751953125,0.0005598068237304688,0.00849151611328125,4.32133674621582e-05,0.0037670135498046875,0.017974853515625,../data/deep_pavements_dataset/dataset/asphalt/df9223b7182d5d2b1181b932dc43670e.png
